Date,City,Cause of Death
10/19/2014,Sydney,Suicide
12/25/2014,Queensland,Drowning
12/26/2014,Darling Point,Other Accident
1/13/2015,Gosnells -  Perth,Suicide
2/27/2015,New South Wales,Suicide
3/10/2015,Silverton -  New South Wales,Veh. Accid-Motorcy.
3/13/2015,Perth -  Western Australia,Suicide
3/20/2015,Bedforddale -  Near Jarrahdale -  Western Australia,Veh. Accid-Auto
3/21/2015,Carins -  Queensland,Drowning
7/7/2015,Surry Hills -  New South Wales,Suicide
8/6/2015,Cairns,Drowning
9/5/2015,Melbourne,Suicide
9/24/2015,Melbourne,Suicide
10/2/2015,Canberra,Other Accident
1/24/2016,Queensland,Veh. Accid-Motorcy.
2/19/2016,Queensland,Suicide
3/7/2016,Queensland,Drowning
6/1/2016,Queensland,Drowning
6/6/2016,New South Wales,Drowning
6/6/2016,Victoria,Homicide
7/16/2016,Victoria,Undetermined/Unknown
7/23/2016,Lithgow -  New South Wales,Homicide
10/27/2016,Goomboorian -  Queensland,Veh. Accid-Auto
10/30/2016,Wandandian -  Nowra -  New South Wales,Veh. Accid-Auto
11/7/2016,Nambour -  Queensland,Undetermined/unknown
12/6/2016,Tweed Heads -  New South Wales,Other Accident
12/15/2016,Liverpool -  New South Wales,Undetermined/Unknown
12/25/2016,Cottesloe -  Western Australia,Undetermined/Unknown
1/18/2017,Queensland,Drowning
2/10/2017,South Australia,Suicide
2/18/2017,New South Wales,Suicide
2/21/2017,Victoria,Air Accident
2/21/2017,Victoria,Air Accident
2/21/2017,Victoria,Air Accident
2/21/2017,Victoria,Air Accident
4/10/2017,Victoria,Veh. Accid-Bus
9/3/2017,Greensborough -  Victoria,Suicide
10/28/2017,Howard Springs -  Northern Territory,Unknown/Undetermined
1/9/2018,Wollongong -  New South Wales,Drowning
1/10/2018,Niagara Park -  New South Wales,Suicide
3/21/2018,Whitsundays -  Queensland,Air Accident
3/21/2018,Whitsundays -  Queensland,Air Accident
4/29/2018,Gerogery -  New South Wales,Veh. Accid-Auto
4/29/2018,Gerogery -  New South Wales,Veh. Accid-Auto
5/22/2018,Caringbah - New South Wales,Drug-Related
7/16/2018,Railway Estate -  Queensland,Undetermined/Unknown
7/23/2018,Kurnell -  New South Wales,Drowning
10/27/2018,Port Douglas -  Queensland,Drowning
11/23/2018,Horseshoe Bay -  Queensland,Drowning
1/31/2019,Sydney -  Australia,Veh. Accid-Auto
12/5/2002,Oberwart -  Austria,Other Accident
12/8/2002,Krems -  Austria,Veh. Accident-Auto
12/21/2002,Graz -  Austria,Suicide
9/24/2003,Vienna -  Austria,Other Accident
12/16/2003,Federal Highway B-154 Between Plomberg And Scharfling -  Austria,Veh. Accident-Auto
5/28/2004,Angath -  Tyrol -  A12 Austrian Highway -  Austra,Veh. Accident-Auto
1/22/2005,Gampberg Mountain -  St. Anton -  Tyrol -  Austria,Disaster
9/17/2005,Triesterstrasse -  Graz -  Austria,Veh. Accident-Auto
5/3/2006,Rosianfeld 2 -  St. Johann Im Pongau -  Austria,Other Accident
5/3/2006,Rosianfeld 2 -  St. Johann Im Pongau -  Austria,Other Accident
8/12/2006,Kufstein -  Austria,Suicide
9/14/2006,Brand -  Vorarlberg -  Austria,Other Accident
10/18/2006,Vienna -  Austria,Suicide
10/22/2007,Schottenfeldgasse 3 -  Neusiedl/zaya,Other Accident
5/19/2008,Vienna -  Austria,Suicide
6/11/2008,Salzburg -  Austria,Veh. Accident-Auto
6/30/2008,Haritzersteig-leiterschlucht -  Carinthia -  Austria,Other Accident - Mountain Climbing
9/13/2008,Vienna -   Austria,Other Accident
12/3/2008,Vienna -   Austria,Suicide
5/26/2009,Salzburg -  Austria,Veh. Accid-Auto
7/5/2009,Baden. Austria,Suicide
11/26/2009,Jennersdorf -  Austria,Suicide
2/3/2010,Salzburg -  Austria,Other Accident
10/8/2010,Vienna -  Austria,Suicide
11/16/2010,Reutte -  Austria,Other Accident
2/14/2011,Salzburg -  Austria,Other Accident
12/29/2011,Vienna -  Austria,Other Accident
6/28/2012,St. Nikola an der Donau -  Austria,Suicide
9/13/2012,Vienna -  Austria,Drug-Related
11/9/2012,Klagenfurt -  Austria,Suicide
8/19/2013,Vienna -  Austria,Suicide
1/1/2014,Rohrberg,Veh. Accid-Auto
1/5/2015,Soelden -  Tyrol,Natural Disaster
1/5/2015,Soelden -  Tyrol,Natural Disaster
1/7/2015,Hohenems,Suicide
6/7/2016,Innsbruck,Other Accident
4/29/2018,Reutte -  Tyrol,Other Accident
8/1/2017,Baku,Drowning
11/17/2002,Island Of San Salvador -  The Bahamas,Drowning
12/15/2002,Providenciales -  Turks And Caicos Islands -  British West Indies,Drowning
1/1/2003,Andros -  The Bahamas,Drowning
1/21/2003,Nassau -  The Bahamas,Drowning
3/25/2003,Mermaid Reef -  Marsh Harbour -  Abaco -  The Bahamas,Drowning
5/31/2003,Green Turtle Cay -  Abaco -  The Bahamas,Maritime Accident
7/18/2003,Freeport -  Grand Bahamas -  The Bahamas,Air Accident
8/15/2003,Freeport -  Grand Bahamas -  The Bahamas,Drowning
8/29/2003,Cable Beach -  Nassau -  The Bahamas,Maritime Accident
