Date,City,Country,Cause of Death
10/16/2009,Buenos Aires -  Argentina,Argentina,Suicide
1/31/2010,Buenos Aires -  Argentina,Argentina,Suicide
2/9/2010,Tupungato - Mendoza -  Argentina,Argentina,Veh. Accid-Auto
7/9/2010,Cordoba -  Argentina,Argentina,Drowning
12/27/2010,Buenos Aires -  Argentina,Argentina,Drowning
3/21/2011,Puerto Iguazu -  Misiones -  Argentina,Argentina,Drowning
3/21/2011,Puerto Iguazu -  Misiones -  Argentina,Argentina,Drowning
2/18/2012,Salta -  Argentina,Argentina,Suicide
8/18/2012,Rosario -  Santa Fe -  Argentina,Argentina,Suicide
3/14/2013,CABA (Ciudad Autonoma de Buenos Aires) -  Argentina,Argentina,Suicide
12/2/2013,Buenos Aires -  Argentina,Argentina,Suicide
12/19/2013,Neuquen -  Argentina,Argentina,Other Accident
2/7/2014,Mendoza,Argentina,Other Accident
3/30/2014,Buenos Aires,Argentina,Veh. Accid-Auto
4/25/2014,Cordoba,Argentina,Veh. Accid-Auto
6/26/2014,San Javier - Rio Negro,Argentina,Veh. Accid-Auto
8/2/2014,Buenos Aires,Argentina,Suicide
2/7/2015,El Chalten -  Santa Cruz,Argentina,Drowning
4/15/2016,El Calafate,Argentina,Veh. Accid-Auto
7/8/2016,Buenos Aires,Argentina,Other Accident
11/18/2018,San Fernando -  Buenos Aires,Argentina,Other Accident
1/3/2019,Buenos Aires -  Argentina,Argentina,Suicide
3/26/2019,San Juan -  Argentina,Argentina,Homicide
5/17/2004,Yerevan -  Armenia,Armenia,Homicide
4/25/2009,Yerevan -  Armenia,Armenia,Homicide
10/3/2010,Vayots Zvor Region -  Armenia,Armenia,Veh. Accid-Auto
8/3/2011,Yerevan -  Armenia,Armenia,Veh. Accid-Pedestr.
7/17/2012,Yerevan -  Armenia,Armenia,Other Accident
1/30/2015,Byurakan -  Aragatsotn Province,Armenia,Suicide
8/1/2015,Tsaghkadzor,Armenia,Veh. Accid-Other
2/19/2017,Jermuk City,Armenia,Other Accident
10/31/2017,Kotayk,Armenia,Veh. Accid-Auto
7/6/2003,Seroe Colorado -  Aruba,Aruba,Other Accident
7/12/2004,Aruba,Aruba,Drowning
7/12/2004,Aruba,Aruba,Drowning
1/26/2005,Oranjestad -  Aruba,Aruba,Other Accident
2/8/2005,Aruba,Aruba,Drowning
3/12/2005,Aruba,Aruba,Drug-Related
6/8/2006,Palm Beach -  Aruba,Aruba,Veh. Accident-Auto
10/4/2006,San Nicolas -  Aruba,Aruba,Drowning
7/4/2012,Oranjestad -  Aruba,Aruba,Drowning
8/6/2012,San Nicolas -  Aruba,Aruba,Drowning
10/8/2002,Great Keppel Island -  Queensland -  Australia,Australia,Drowning
11/5/2002,Line Reef Off Proserpine -  Queensland -  Australia,Australia,Drowning
11/12/2002,Sandringham St. -  Sans Souci -  Australia,Australia,Veh. Accident-Motorcycle
